노선,구간,계,startpoint,endpoint,startpoint_coor,endpoint_coor
광주대구선,함양~함양JCT,30542,함양,함양JCT,"(35.52046139999999, 127.7251763)","(35.52046139999999, 127.7251763)"
광주대구선,해인사~고령,44740,해인사,고령,"(35.8011781, 128.098098)","(35.7261415, 128.262953)"
남해선,곤양~축동,79106,곤양,축동,"(35.0575111, 127.9596724)","(0, 0)"
남해선,광양~동광양,65188,광양,동광양,"(34.9406968, 127.6958882)","(34.93605, 127.699311)"
남해선,군북~장지,135368,군북,장지,"(35.2616616, 128.3450256)","(0, 0)"
남해선,김해JCT~대저JCT,120304,김해JCT,대저JCT,"(35.2285451, 128.8893517)","(0, 0)"
남해선,냉정JCT~서김해,118926,냉정JCT,서김해,"(0, 0)","(35.2285451, 128.8893517)"
남해선,대저JCT~부산,130734,대저JCT,부산,"(0, 0)","(35.1795543, 129.0756416)"
남해선,동광양~옥곡,53820,동광양,옥곡,"(34.93605, 127.699311)","(34.98945399999999, 127.6989272)"
남해선,동김해~김해JCT,186824,동김해,김해JCT,"(35.2249627, 128.9063505)","(35.2285451, 128.8893517)"
남해선,동창원~진영JCT,179436,동창원,진영JCT,"(35.2958218, 128.6744378)","(0, 0)"
남해선,문산~진성,126414,문산,진성,"(37.8530229, 126.7842319)","(0, 0)"
남해선,북창원~창원JCT,137678,북창원,창원JCT,"(0, 0)","(0, 0)"
남해선,사천~진주JCT,118738,사천,진주JCT,"(35.0037788, 128.064185)","(0, 0)"
남해선,산인JCT~칠원JCT,105136,산인JCT,칠원JCT,"(0, 0)","(0, 0)"
남해선,서김해~동김해,138842,서김해,동김해,"(35.2285451, 128.8893517)","(35.2249627, 128.9063505)"
남해선,서순천~순천,57270,서순천,순천,"(0, 0)","(34.950637, 127.4872135)"
남해선,순천JCT~광양,44432,순천JCT,광양,"(34.950637, 127.4872135)","(34.9406968, 127.6958882)"
남해선,순천~순천JCT,38886,순천,순천JCT,"(34.950637, 127.4872135)","(34.950637, 127.4872135)"
남해선,옥곡~진월,57958,옥곡,진월,"(34.98945399999999, 127.6989272)","(35.1156196, 126.8992257)"
남해선,장지~함안,160078,장지,함안,"(0, 0)","(35.2725591, 128.4064797)"
남해선,지수~군북,125992,지수,군북,"(0, 0)","(35.2616616, 128.3450256)"
남해선,진교~곤양,92258,진교,곤양,"(0, 0)","(35.0575111, 127.9596724)"
남해선,진례JCT~냉정JCT,167368,진례JCT,냉정JCT,"(35.2490716, 128.747734)","(0, 0)"
남해선,진례~진례JCT,182662,진례,진례JCT,"(35.2490716, 128.747734)","(35.2490716, 128.747734)"
남해선,진성~지수,126560,진성,지수,"(0, 0)","(0, 0)"
남해선,진영JCT~진례,172916,진영JCT,진례,"(0, 0)","(35.2490716, 128.747734)"
남해선,진월~하동,57126,진월,하동,"(35.1156196, 126.8992257)","(35.0672108, 127.7512687)"
남해선,진주JCT~진주,138072,진주JCT,진주,"(0, 0)","(35.1799817, 128.1076213)"
남해선,진주~문산,105210,진주,문산,"(35.1799817, 128.1076213)","(37.8530229, 126.7842319)"
남해선,창원JCT~동창원,224204,창원JCT,동창원,"(0, 0)","(35.2958218, 128.6744378)"
남해선,축동~사천,94254,축동,사천,"(0, 0)","(35.0037788, 128.064185)"
남해선,칠원JCT~북창원,135532,칠원JCT,북창원,"(0, 0)","(0, 0)"
남해선,하동~진교,77544,하동,진교,"(35.0672108, 127.7512687)","(0, 0)"
남해선,함안~산인JCT,168296,함안,산인JCT,"(35.2725591, 128.4064797)","(0, 0)"
남해선(영암순천),강진무위사~장흥,17254,강진무위사,장흥,"(34.7388087, 126.6867287)","(34.6816856, 126.9069278)"
남해선(영암순천),고흥~순천만(남순천),45808,고흥,순천만(남순천),"(34.6112219, 127.284978)","(34.885971, 127.5090298)"
남해선(영암순천),벌교~고흥,26772,벌교,고흥,"(34.8475775, 127.3416)","(34.6112219, 127.284978)"
남해선(영암순천),보성~벌교,33054,보성,벌교,"(34.7714563, 127.0798944)","(34.8475775, 127.3416)"
남해선(영암순천),서영암~서호학산,25676,서영암,서호학산,"(0, 0)","(0, 0)"
남해선(영암순천),서호학산~강진무위사,20632,서호학산,강진무위사,"(0, 0)","(34.7388087, 126.6867287)"
남해선(영암순천),순천만~도롱,47712,순천만,도롱,"(34.885971, 127.5090298)","(0, 0)"
남해선(영암순천),장흥~보성,19068,장흥,보성,"(34.6816856, 126.9069278)","(34.7714563, 127.0798944)"
남해제1지선,내서JCT~서마산,105964,내서JCT,서마산,"(0, 0)","(0, 0)"
남해제1지선,동마산~창원JCT,85188,동마산,창원JCT,"(35.213516, 128.581433)","(0, 0)"
남해제1지선,산인JCT~내서JCT,67924,산인JCT,내서JCT,"(0, 0)","(0, 0)"
남해제1지선,서마산~동마산,114272,서마산,동마산,"(0, 0)","(35.213516, 128.581433)"
남해제2지선,가락~서부산,181196,가락,서부산,"(0, 0)","(35.1723539, 128.8727419)"
남해제2지선,냉정JCT~장유,124708,냉정JCT,장유,"(0, 0)","(0, 0)"
남해제2지선,서부산~사상,240612,서부산,사상,"(35.1723539, 128.8727419)","(35.1526399, 128.9908173)"
남해제2지선,장유~가락,122424,장유,가락,"(0, 0)","(0, 0)"
당진대전선,고덕~예산수덕사,40144,고덕,예산수덕사,"(37.555051, 127.15411)","(36.66294269999999, 126.6225853)"
당진대전선,공주JCT~공주,56088,공주JCT,공주,"(0, 0)","(36.4465346, 127.1191534)"
당진대전선,공주~서세종,69878,공주,서세종,"(36.4465346, 127.1191534)","(0, 0)"
당진대전선,남세종~유성JCT,81628,남세종,유성JCT,"(0, 0)","(0, 0)"
당진대전선,당진JCT~면천,38790,당진JCT,면천,"(36.8936109, 126.6283278)","(36.8175631, 126.6669741)"
당진대전선,마곡사~서공주JCT,58742,마곡사,서공주JCT,"(36.5585432, 127.0120353)","(0, 0)"
당진대전선,면천~고덕,41086,면천,고덕,"(36.8175631, 126.6669741)","(37.555051, 127.15411)"
당진대전선,서공주JCT~공주JCT,89214,서공주JCT,공주JCT,"(0, 0)","(0, 0)"
당진대전선,서세종~남세종,70134,서세종,남세종,"(0, 0)","(0, 0)"
당진대전선,신양~유구,48530,신양,유구,"(32.1471399, 114.09279)","(0, 0)"
당진대전선,예산수덕사~신양,49886,예산수덕사,신양,"(36.66294269999999, 126.6225853)","(32.1471399, 114.09279)"
당진대전선,유구~마곡사,55988,유구,마곡사,"(0, 0)","(36.5585432, 127.0120353)"
대전남부순환선,서대전JCT~서대전,83414,서대전JCT,서대전,"(36.322517, 127.403933)","(36.322517, 127.403933)"
대전남부순환선,서대전~안영,79862,서대전,안영,"(36.322517, 127.403933)","(0, 0)"
대전남부순환선,안영~산내JCT,60060,안영,산내JCT,"(0, 0)","(0, 0)"
동해선,강릉JCT~북강릉,35794,강릉JCT,북강릉,"(37.751853, 128.8760574)","(37.8350642, 128.8145053)"
동해선,강릉~강릉JCT,63358,강릉,강릉JCT,"(37.751853, 128.8760574)","(37.751853, 128.8760574)"
동해선,근덕~삼척,15398,근덕,삼척,"(37.3792207, 129.2258038)","(37.4498683, 129.1652059)"
동해선,남강릉~강릉,38512,남강릉,강릉,"(37.751853, 128.8760574)","(37.751853, 128.8760574)"
동해선,남양양~하조대,36560,남양양,하조대,"(0, 0)","(38.0210854, 128.7356837)"
동해선,동해~망상,42026,동해,망상,"(37.5247192, 129.1142915)","(0, 0)"
동해선,망상~옥계,50444,망상,옥계,"(0, 0)","(37.6126866, 129.0379266)"
동해선,북강릉~남양양,32646,북강릉,남양양,"(37.8350642, 128.8145053)","(0, 0)"
동해선,북양양~속초,22260,북양양,속초,"(0, 0)","(38.2070148, 128.5918488)"
동해선,삼척~동해,24312,삼척,동해,"(37.4498683, 129.1652059)","(37.5247192, 129.1142915)"
동해선,양양~북양양,37014,양양,북양양,"(38.0753925, 128.6188503)","(0, 0)"
동해선,옥계~남강릉,46494,옥계,남강릉,"(37.6126866, 129.0379266)","(37.751853, 128.8760574)"
동해선,하조대~양양JCT,32528,하조대,양양JCT,"(38.0210854, 128.7356837)","(38.0753925, 128.6188503)"
무안광주선,나주~서광산,70750,나주,서광산,"(35.0160601, 126.7107572)","(35.1183816, 126.7324468)"
무안광주선,동함평~문평,68070,동함평,문평,"(35.0659399, 126.5165524)","(0, 0)"
무안광주선,무안공항~북무안,4756,무안공항,북무안,"(34.99045419999999, 126.4816856)","(34.99045419999999, 126.4816856)"
무안광주선,문평~나주,67038,문평,나주,"(0, 0)","(35.0160601, 126.7107572)"
무안광주선,북무안~함평JCT,15008,북무안,함평JCT,"(34.99045419999999, 126.4816856)","(35.0659399, 126.5165524)"
무안광주선,서광산~운수,81744,서광산,운수,"(35.1183816, 126.7324468)","(0, 0)"
무안광주선,함평JCT~동함평,50624,함평JCT,동함평,"(35.0659399, 126.5165524)","(35.0659399, 126.5165524)"
부산외곽순환선,광재~대감JCT,95346,광재,대감JCT,"(0, 0)","(0, 0)"
부산외곽순환선,금정~기장철마,106174,금정,기장철마,"(37.372237, 126.9434895)","(35.2750154, 129.149806)"
부산외곽순환선,기장철마~기장JCT,104684,기장철마,기장JCT,"(35.2750154, 129.149806)","(0, 0)"
부산외곽순환선,김해가야하이패스~노포JCT,114940,김해가야하이패스,노포JCT,"(35.2285451, 128.8893517)","(0, 0)"
부산외곽순환선,노포JCT~금정,104004,노포JCT,금정,"(0, 0)","(37.372237, 126.9434895)"
부산외곽순환선,대감JCT~김해가야하이패스,118364,대감JCT,김해가야하이패스,"(0, 0)","(35.2285451, 128.8893517)"
부산외곽순환선,진영JCT~진영,59506,진영JCT,진영,"(0, 0)","(0, 0)"
부산외곽순환선,진영~한림,67546,진영,한림,"(0, 0)","(33.4103985, 126.2671535)"
부산외곽순환선,한림~광재,75042,한림,광재,"(33.4103985, 126.2671535)","(0, 0)"
부산울산선,기장JCT~장안,84030,기장JCT,장안,"(0, 0)","(0, 0)"
부산울산선,동부산~해운대,92546,동부산,해운대,"(0, 0)","(35.1631139, 129.1635509)"
부산울산선,문수~울산JCT,63280,문수,울산JCT,"(0, 0)","(35.5383773, 129.3113596)"
부산울산선,시점~동부산,91768,시점,동부산,"(0, 0)","(0, 0)"
부산울산선,온양~청량,90200,온양,청량,"(36.7871303, 126.9995727)","(0, 0)"
부산울산선,장안~온양,99338,장안,온양,"(0, 0)","(36.7871303, 126.9995727)"
부산울산선,청량~문수,60650,청량,문수,"(0, 0)","(0, 0)"
부산울산선,해운대~기장JCT,101186,해운대,기장JCT,"(35.1631139, 129.1635509)","(0, 0)"
새만금포항선(대구포항),도동JCT~청통와촌,78172,도동JCT,청통와촌,"(0, 0)","(0, 0)"
새만금포항선(대구포항),북영천~임고하이패스,68148,북영천,임고하이패스,"(35.9714865, 128.9133601)","(0, 0)"
새만금포항선(대구포항),서포항~포항,60380,서포항,포항,"(36.0190178, 129.3434808)","(36.0190178, 129.3434808)"
새만금포항선(대구포항),임고하이패스~서포항,59304,임고하이패스,서포항,"(0, 0)","(36.0190178, 129.3434808)"
새만금포항선(대구포항),청통와촌~화산JCT,57888,청통와촌,화산JCT,"(0, 0)","(0, 0)"
새만금포항선(대구포항),팔공산~도동JCT,63728,팔공산,도동JCT,"(36.016944, 128.695)","(0, 0)"
새만금포항선(대구포항),화산JCT~북영천,71932,화산JCT,북영천,"(0, 0)","(35.9714865, 128.9133601)"
새만금포항선(완주장수),소양~진안,28994,소양,진안,"(0, 0)","(35.7917297, 127.4248356)"
새만금포항선(완주장수),완주JCT~소양,25704,완주JCT,소양,"(35.891275, 127.253895)","(0, 0)"
새만금포항선(완주장수),완주~완주JCT,69164,완주,완주JCT,"(35.891275, 127.253895)","(35.891275, 127.253895)"
새만금포항선(완주장수),익산JCT~완주,62914,익산JCT,완주,"(35.9482858, 126.9575991)","(35.891275, 127.253895)"
새만금포항선(완주장수),장수~장수JCT,26590,장수,장수JCT,"(35.6472767, 127.5211363)","(0, 0)"
새만금포항선(완주장수),진안~장수,28734,진안,장수,"(35.7917297, 127.4248356)","(35.6472767, 127.5211363)"
서울양양선,강일JCT~선동,375480,강일JCT,선동,"(0, 0)","(35.2693998, 129.1122271)"
서울양양선,강촌~남춘천,92044,강촌,남춘천,"(37.81829, 127.63478)","(37.864071, 127.723761)"
서울양양선,남춘천~조양,52158,남춘천,조양,"(37.864071, 127.723761)","(0, 0)"
서울양양선,내촌~인제,54354,내촌,인제,"(37.786196, 127.2285701)","(38.0694675, 128.1706991)"
서울양양선,덕소삼패~화도,172164,덕소삼패,화도,"(0, 0)","(34.9506422, 126.162005)"
서울양양선,동홍천~내촌,60000,동홍천,내촌,"(37.6969518, 127.8886827)","(37.786196, 127.2285701)"
서울양양선,미사~덕소삼패,187330,미사,덕소삼패,"(0, 0)","(0, 0)"
서울양양선,서양양~양양JCT,52088,서양양,양양JCT,"(0, 0)","(38.0753925, 128.6188503)"
서울양양선,서종~설악,125014,서종,설악,"(37.6065603, 127.3486933)","(38.1195504, 128.4655581)"
서울양양선,선동~미사,297460,선동,미사,"(35.2693998, 129.1122271)","(0, 0)"
서울양양선,설악~강촌,95264,설악,강촌,"(38.1195504, 128.4655581)","(37.81829, 127.63478)"
서울양양선,인제~서양양,51572,인제,서양양,"(38.0694675, 128.1706991)","(0, 0)"
서울양양선,조양~춘천JCT,71642,조양,춘천JCT,"(0, 0)","(37.8813153, 127.7299707)"
서울양양선,춘천JCT~동홍천,64212,춘천JCT,동홍천,"(37.8813153, 127.7299707)","(37.6969518, 127.8886827)"
서울양양선,화도~서종,119128,화도,서종,"(34.9506422, 126.162005)","(37.6065603, 127.3486933)"
서천공주선,동서천JCT~서부여,42172,동서천JCT,서부여,"(0, 0)","(36.2398593, 126.7900794)"
서천공주선,동서천~동서천JCT,5784,동서천,동서천JCT,"(36.0425497, 126.7851961)","(0, 0)"
서천공주선,부여~청양,38874,부여,청양,"(36.2754406, 126.910178)","(36.4588326, 126.8022116)"
서천공주선,서공주~서공주JCT,41552,서공주,서공주JCT,"(0, 0)","(0, 0)"
서천공주선,서부여~부여,33684,서부여,부여,"(36.2398593, 126.7900794)","(36.2754406, 126.910178)"
서천공주선,청양~서공주,39234,청양,서공주,"(36.4588326, 126.8022116)","(0, 0)"
서해안선,고창JCT~고창,50292,고창JCT,고창,"(35.4358216, 126.7020806)","(35.4358216, 126.7020806)"
서해안선,고창~선운산,53540,고창,선운산,"(35.4358216, 126.7020806)","(35.508056, 126.571111)"
서해안선,광명역~일직JCT,263032,광명역,일직JCT,"(37.416522, 126.884789)","(0, 0)"
서해안선,광천~홍성,68070,광천,홍성,"(36.501827, 126.622563)","(36.60123, 126.6607764)"
서해안선,군산~동서천JCT,67674,군산,동서천JCT,"(35.9676772, 126.7366293)","(0, 0)"
서해안선,당진JCT~당진,149084,당진JCT,당진,"(36.8936109, 126.6283278)","(36.8936109, 126.6283278)"
서해안선,당진~송악,142500,당진,송악,"(36.8936109, 126.6283278)","(0, 0)"
서해안선,대천~광천,61434,대천,광천,"(36.3055967, 126.5160485)","(36.501827, 126.622563)"
서해안선,동군산~군산,44080,동군산,군산,"(35.9773651, 126.7370947)","(35.9676772, 126.7366293)"
서해안선,동서천JCT~서천,59348,동서천JCT,서천,"(0, 0)","(36.0803312, 126.6913277)"
서해안선,매송~팔곡JCT,214508,매송,팔곡JCT,"(37.2522929, 126.9090751)","(0, 0)"
서해안선,목감~광명역,315746,목감,광명역,"(37.3845831, 126.8572641)","(37.416522, 126.884789)"
서해안선,무안~함평JCT,70504,무안,함평JCT,"(34.99045419999999, 126.4816856)","(35.0659399, 126.5165524)"
서해안선,무창포~대천,55500,무창포,대천,"(36.2450766, 126.536437)","(36.3055967, 126.5160485)"
서해안선,발안~비봉,175196,발안,비봉,"(0, 0)","(37.6255556, 126.9527778)"
서해안선,부안~서김제,56640,부안,서김제,"(35.73156609999999, 126.7334651)","(0, 0)"
서해안선,비봉~매송,222022,비봉,매송,"(37.6255556, 126.9527778)","(37.2522929, 126.9090751)"
서해안선,서김제~동군산,64932,서김제,동군산,"(0, 0)","(35.9773651, 126.7370947)"
서해안선,서산~당진JCT,116120,서산,당진JCT,"(36.7844993, 126.4503169)","(36.8936109, 126.6283278)"
서해안선,서천~춘장대,56342,서천,춘장대,"(36.0803312, 126.6913277)","(36.1639195, 126.5230793)"
서해안선,서평택JCT~발안,186704,서평택JCT,발안,"(0, 0)","(0, 0)"
서해안선,서평택~서평택JCT,208494,서평택,서평택JCT,"(0, 0)","(0, 0)"
서해안선,선운산~줄포,57930,선운산,줄포,"(35.508056, 126.571111)","(35.5903088, 126.6776172)"
서해안선,소하JCT~금천,207564,소하JCT,금천,"(0, 0)","(37.4518527, 126.9020358)"
서해안선,송악~서평택,178658,송악,서평택,"(0, 0)","(0, 0)"
서해안선,안산JCT~조남JCT,377578,안산JCT,조남JCT,"(0, 0)","(0, 0)"
서해안선,영광~고창JCT,32432,영광,고창JCT,"(35.2771719, 126.5119874)","(35.4358216, 126.7020806)"
서해안선,일로~무안,68136,일로,무안,"(34.848392, 126.477746)","(34.99045419999999, 126.4816856)"
서해안선,일직JCT~소하JCT,221516,일직JCT,소하JCT,"(0, 0)","(0, 0)"
서해안선,조남JCT~목감,208438,조남JCT,목감,"(0, 0)","(37.3845831, 126.8572641)"
서해안선,죽림~일로,51790,죽림,일로,"(0, 0)","(34.848392, 126.477746)"
서해안선,줄포~부안,51944,줄포,부안,"(35.5903088, 126.6776172)","(35.73156609999999, 126.7334651)"
서해안선,춘장대~무창포,56318,춘장대,무창포,"(36.1639195, 126.5230793)","(36.2450766, 126.536437)"
서해안선,팔곡JCT~안산JCT,202292,팔곡JCT,안산JCT,"(0, 0)","(0, 0)"
서해안선,함평JCT~함평,31736,함평JCT,함평,"(35.0659399, 126.5165524)","(35.0659399, 126.5165524)"
서해안선,함평~영광,25120,함평,영광,"(35.0659399, 126.5165524)","(35.2771719, 126.5119874)"
서해안선,해미~서산,69976,해미,서산,"(36.7136394, 126.5449139)","(36.7844993, 126.4503169)"
서해안선,홍성~해미,75950,홍성,해미,"(36.60123, 126.6607764)","(36.7136394, 126.5449139)"
세종포천선(구리중랑),남구리~중랑,104798,남구리,중랑,"(0, 0)","(37.6065602, 127.0926519)"
세종포천선(구리중랑),남별내~동의정부,125844,남별내,동의정부,"(0, 0)","(0, 0)"
세종포천선(구리중랑),동의정부~민락,127764,동의정부,민락,"(0, 0)","(37.7456617, 127.1088409)"
세종포천선(구리중랑),민락~소흘,112824,민락,소흘,"(37.7456617, 127.1088409)","(37.8233334, 127.1385288)"
세종포천선(구리중랑),선단~포천,70060,선단,포천,"(0, 0)","(37.8949148, 127.2003551)"
세종포천선(구리중랑),소흘JCT~선단,93570,소흘JCT,선단,"(37.8233334, 127.1385288)","(0, 0)"
세종포천선(구리중랑),소흘~소흘JCT,99156,소흘,소흘JCT,"(37.8233334, 127.1385288)","(37.8233334, 127.1385288)"
세종포천선(구리중랑),중랑~남별내,136112,중랑,남별내,"(37.6065602, 127.0926519)","(0, 0)"
세종포천선(구리중랑),포천~신북,44420,포천,신북,"(37.8949148, 127.2003551)","(37.9338393, 127.2264838)"
세종포천선(양주지선),소흘JCT~옥정,23668,소흘JCT,옥정,"(37.8233334, 127.1385288)","(0, 0)"
세종포천선(양주지선),옥정~양주,20384,옥정,양주,"(0, 0)","(37.7852875, 127.0458453)"
수도권제1순환선,강일~토평,280200,강일,토평,"(37.557471, 127.17571)","(37.5782765, 127.1490031)"
