,노선번호,구간,이정,연장,2017,2018,2019,2020,계,1~2종,3~12종,17~20년도_합계,startpoint,endpoint,startpoint_coor,endpoint_coor,rest_count,accident_count
367,,남여주IC~서여주IC,268.3~274.1,5.8,13720.0,13413.0,13858.0,13106.0,"14,717",9861,1804,54097.0,남여주IC,서여주IC,"(37.2530559083274, 127.588108767858)","(37.3043238251196, 127.582385312667)",0,1
368,,서여주IC~북여주IC,274.1~283.5,9.4,17352.0,14747.0,14876.0,15054.0,"15,472",10966,1722,62029.0,서여주IC,북여주IC,"(37.3043238251196, 127.582385312667)","(37.3728179638419, 127.526538180081)",0,1
369,,북여주IC~남양평하이패스IC,283.5~297,13.5,9034.0,9959.0,10695.0,10148.0,"11,384",8106,1139,39836.0,북여주IC,남양평하이패스IC,"(37.3728179638419, 127.526538180081)","(37.4809465395503, 127.467292907577)",0,3
370,,남양평하이패스IC~양평IC,297~302,5.0,7803.0,8120.0,7438.0,7965.0,"8,037",5704,806,31326.0,남양평하이패스IC,양평IC,"(37.4809465395503, 127.467292907577)","(37.521879923289, 127.447005181522)",0,0
371,영동선,서창JCT~월곶JCT,0~5.9,5.9,142794.0,128513.0,138727.0,137297.0,"142,630",96475,20672,547331.0,서창JCT,월곶JCT,"(37.4329303267572, 126.738517411937)","(37.3876660227533, 126.753241422768)",0,12
372,,월곶JCT~군자JCT,5.9~7.9,2.0,103624.0,85155.0,90042.0,93354.0,"127,401",86548,17542,372175.0,월곶JCT,군자JCT,"(37.3876660227533, 126.753241422768)","(37.3630054106323, 126.768588553383)",0,8
373,,군자JCT~서안산IC,7.9~12.4,4.5,101974.0,97799.0,107288.0,101792.0,"112,183",76459,14930,408853.0,군자JCT,서안산IC,"(37.3630054106323, 126.768588553383)","(37.351514143351, 126.80154918573)",0,5
374,,서안산IC~안산IC,12.4~15.7,3.3,127281.0,126210.0,134051.0,128843.0,"140,964",97253,21562,516385.0,서안산IC,안산IC,"(37.351514143351, 126.80154918573)","(37.3488071546109, 126.842019705309)",0,4
375,,안산IC~안산JCT,15.7~17.8,2.1,120717.0,111248.0,122305.0,112219.0,"125,678",87152,16022,466489.0,안산IC,안산JCT,"(37.3488071546109, 126.842019705309)","(37.3436587204538, 126.862239373073)",0,20
376,,안산JCT~둔대JCT,17.8~22.6,4.8,139231.0,134129.0,127446.0,122552.0,"131,255",91581,16233,523358.0,안산JCT,둔대JCT,"(37.3436587204538, 126.862239373073)","(37.3223590327468, 126.905093396643)",0,23
377,,둔대JCT~군포IC,22.6~24.3,1.7,55308.87963,131491.0,129506.0,130577.0,"140,151",98488,17201,446882.8796,둔대JCT,군포IC,"(37.3223590327468, 126.905093396643)","(37.3260912390494, 126.922595162914)",0,7
378,,군포IC~동군포IC,24.3~25.9,1.6,129103.0,127736.0,142435.0,135445.0,"149,948",106044,19323,534719.0,군포IC,동군포IC,"(37.3260912390494, 126.922595162914)","(37.32893047892284, 126.93469242818782)",0,0
379,,동군포IC~부곡IC,25.9~27.9,2.0,148827.0,138241.0,167512.0,167272.0,"157,295",111160,20530,621852.0,동군포IC,부곡IC,"(37.32893047892284, 126.93469242818782)","(37.3238718263062, 126.960583405915)",0,4
380,,부곡IC~북수원IC,27.9~30.7,2.8,139929.0,134355.0,143231.0,137744.0,"160,784",113568,21256,555259.0,부곡IC,북수원IC,"(37.3238718263062, 126.960583405915)","(37.3185583437345, 126.990947547185)",1,0
381,,북수원IC~동수원IC,30.7~36.8,6.1,150711.0,134327.0,144385.0,143044.0,"164,559",117384,20328,572467.0,북수원IC,동수원IC,"(37.3185583437345, 126.990947547185)","(37.2996947374399, 127.050303904582)",0,30
382,,동수원IC~신갈JCT,36.8~41.7,4.9,145794.0,143141.0,137333.0,139741.0,"158,572",114212,18207,566009.0,동수원IC,신갈JCT,"(37.2996947374399, 127.050303904582)","(37.2900153417712, 127.103648843423)",0,32
383,,신갈JCT~마성IC,41.7~48.3,6.6,165603.0,153176.0,160182.0,150613.0,"165,332",114359,19322,629574.0,신갈JCT,마성IC,"(37.2900153417712, 127.103648843423)","(37.2834886413572, 127.176413747802)",0,13
384,,마성IC~용인IC,48.3~52.4,4.1,165148.0,144688.0,148596.0,143988.0,"155,725",107891,17065,602420.0,마성IC,용인IC,"(37.2834886413572, 127.176413747802)","(37.2567058990997, 127.209708774732)",0,9
385,,용인IC~양지IC,52.4~60.3,7.9,138423.0,133006.0,128140.0,125923.0,"137,653",94434,16556,525492.0,용인IC,양지IC,"(37.2567058990997, 127.209708774732)","(37.2393878768197, 127.294369723648)",2,14
386,,양지IC~덕평IC,60.3~67.4,7.1,108866.0,104168.0,106969.0,106764.0,"116,909",79747,13325,426767.0,양지IC,덕평IC,"(37.2393878768197, 127.294369723648)","(37.2414577437089, 127.365167955447)",2,0
387,,덕평IC~호법JCT,67.4~73.1,5.7,112829.0,102645.0,106796.0,107403.0,"117,142",79691,12518,429673.0,덕평IC,호법JCT,"(37.2414577437089, 127.365167955447)","(37.2350583920676, 127.427164981905)",0,11
388,,호법JCT~이천IC,73.1~79.5,6.4,122427.0,121362.0,125937.0,115376.0,"129,975",88498,12186,485102.0,호법JCT,이천IC,"(37.2350583920676, 127.427164981905)","(37.2452612776321, 127.496589129365)",0,4
389,,이천IC~여주JCT,79.5~88.2,8.7,102596.0,99971.0,105041.0,107340.0,"123,651",84589,10672,414948.0,이천IC,여주JCT,"(37.2452612776321, 127.496589129365)","(37.2320366278668, 127.590280331137)",2,0
390,,여주JCT~여주IC,88.2~94.4,6.2,49946.0,44913.0,50417.0,50695.0,"49,123",34114,6246,195971.0,여주JCT,여주IC,"(37.2320366278668, 127.590280331137)","(37.2528496032218, 127.653573413011)",0,0
391,,여주IC~문막IC,94.4~114.4,20.0,36690.0,37915.0,37988.0,37341.0,"41,652",29675,5004,149934.0,여주IC,문막IC,"(37.2528496032218, 127.653573413011)","(37.3119665462099, 127.826613052916)",1,0
392,,문막IC~만종JCT,114.4~123.5,9.1,34446.0,35458.0,37515.0,35686.0,"38,906",28473,4396,143105.0,문막IC,만종JCT,"(37.3119665462099, 127.826613052916)","(37.3650874129991, 127.902384841446)",1,0
393,,만종JCT~원주JCT,123.5~127.7,4.2,21279.0,23516.0,23656.0,22561.0,"24,745",18011,2101,91012.0,만종JCT,원주JCT,"(37.3650874129991, 127.902384841446)","(37.3872079434153, 127.931294478357)",0,0
394,,원주JCT~원주IC,127.7~130.1,2.4,39125.0,42312.0,41898.0,40639.0,"44,526",30972,4376,163974.0,원주JCT,원주IC,"(37.3872079434153, 127.931294478357)","(37.4009930675476, 127.950320959257)",0,0
395,,원주IC~새말IC,130.1~142.8,12.7,36313.0,38626.0,39872.0,39538.0,"43,114",31503,4031,154349.0,원주IC,새말IC,"(37.4009930675476, 127.950320959257)","(37.4466594727853, 128.067171095072)",0,0
396,,새말IC~둔내IC,142.8~159.9,17.1,31404.0,30376.0,32665.0,34684.0,"38,548",29295,2926,129129.0,새말IC,둔내IC,"(37.4466594727853, 128.067171095072)","(37.4926460594368, 128.205660738632)",2,0
397,,둔내IC~동둔내하이패스IC,159.9~167.2,7.3,31142.0,32910.0,32641.0,31483.0,"36,025",27102,3294,128176.0,둔내IC,동둔내하이패스IC,"(37.4926460594368, 128.205660738632)","(37.5241421816576, 128.278744711609)",0,0
398,,동둔내하이패스IC~면온IC,167.2~176.9,9.7,32437.0,33213.0,32971.0,31745.0,"36,598",27249,3497,130366.0,동둔내하이패스IC,면온IC,"(37.5241421816576, 128.278744711609)","(37.5611216194182, 128.367068391422)",0,0
399,,면온IC~평창IC,176.9~182.6,5.7,31695.0,31795.0,35200.0,34096.0,"34,805",26321,3760,132786.0,면온IC,평창IC,"(37.5611216194182, 128.367068391422)","(37.59007432462, 128.413523286092)",0,0
400,,평창IC~속사IC,182.6~191.8,9.2,30208.0,31862.0,32775.0,30591.0,"35,046",26292,3182,125436.0,평창IC,속사IC,"(37.59007432462, 128.413523286092)","(37.6306049089709, 128.489661305356)",2,1
401,,속사IC~진부IC,191.8~199,7.2,32184.0,31280.0,31614.0,29849.0,"34,016",25472,3273,124927.0,속사IC,진부IC,"(37.6306049089709, 128.489661305356)","(37.6521679957146, 128.562428932937)",0,1
402,,진부IC~대관령IC,199~211.8,12.8,28365.0,28922.0,28508.0,28432.0,"32,773",25004,2600,114227.0,진부IC,대관령IC,"(37.6521679957146, 128.562428932937)","(37.6787839102446, 128.695464563876)",0,3
403,,대관령IC~강릉JCT,211.8~234.4,22.6,30540.0,30896.0,31243.0,29609.0,"32,994",24627,2914,122288.0,대관령IC,강릉JCT,"(37.6787839102446, 128.695464563876)","(37.772579648782, 128.832126582754)",2,5
404,광주원주선,초월IC·경기광주JCT~동곤지암IC,0~8.3,8.3,60547.0,53809.0,56627.0,57089.0,"56,692",45399,4774,228072.0,초월IC·경기광주JCT,동곤지암IC,"(37.3715842185326, 127.324509432102)","(37.3808979664337, 127.400659883125)",0,9
405,,동곤지암IC~흥천이포IC,8.3~18.5,10.2,50034.0,51856.0,53232.0,50705.0,"52,306",44761,3457,205827.0,동곤지암IC,흥천이포IC,"(37.3808979664337, 127.400659883125)","(37.3784480059131, 127.515792793563)",0,0
406,,흥천이포IC~대신IC,18.5~24.5,6.0,37035.0,40085.0,42164.0,42241.0,"43,746",35117,3661,161525.0,흥천이포IC,대신IC,"(37.3784480059131, 127.515792793563)","(37.3846472518796, 127.581750383404)",0,0
407,,대신IC~동여주IC,24.5~33.1,8.6,35165.0,38045.0,39923.0,39936.0,"40,798",32790,3403,153069.0,대신IC,동여주IC,"(37.3846472518796, 127.581750383404)","(37.4002522473509, 127.673504175791)",0,0
408,,동여주IC~동양평IC,33.1~40.3,7.2,33801.0,36799.0,38577.0,38477.0,"39,838",32538,2784,147654.0,동여주IC,동양평IC,"(37.4002522473509, 127.673504175791)","(37.3995546394301, 127.753285092779)",0,0
409,,동양평IC~서원주IC,40.3~48.7,8.4,32743.0,35666.0,37394.0,37009.0,"38,434",31440,2680,142812.0,동양평IC,서원주IC,"(37.3995546394301, 127.753285092779)","(37.3942251969019, 127.858886768882)",0,1
410,,서원주IC~신평JCT,48.7~52.7,4.0,35761.0,37806.0,41051.0,39494.0,"41,454",35788,2323,154112.0,서원주IC,신평JCT,"(37.3942251969019, 127.858886768882)","(37.3863871102296, 127.893344898069)",0,0
411,,신평JCT~원주JCT,52.7~56.9,4.2,15674.0,15475.0,17296.0,17191.0,"17,733",14466,1244,65636.0,신평JCT,원주JCT,"(37.3863871102296, 127.893344898069)","(37.3872079434153, 127.931294478357)",0,0
412,중앙선,대저JCT~초정IC,3.1~4.5,1.4,60770.0,66191.0,76662.0,73274.0,"73,334",46488,12213,276897.0,대저JCT,초정IC,"(35.2192538682528, 128.974298079682)","(35.2320615336056, 128.979357595685)",0,0
413,,초정IC~대감JCT,4.5~7.3,2.8,90557.0,99323.0,107669.0,99450.0,"113,428",71934,18887,396999.0,초정IC,대감JCT,"(35.2320615336056, 128.979357595685)","(35.2699102247091, 128.983772438181)",0,26
414,,대감JCT~대동JCT,7.3~8.9,1.6,55308.87963,82674.0,87843.0,84783.0,"85,844",60807,9411,310608.8796,대감JCT,대동JCT,"(35.2699102247091, 128.983772438181)","(35.2817692863646, 128.985103583385)",0,0
415,대구부산선,대동JCT~상동IC,8.9~15.5,6.6,53661.0,47685.0,42624.0,42588.0,"50,016",31372,5743,186558.0,대동JCT,상동IC,"(35.2817692863646, 128.985103583385)","(35.3186210003188, 128.94397700434)",0,0
416,,상동IC~삼랑진IC,15.5~30.8,15.3,41947.0,42024.0,33764.0,38161.0,"43,910",27051,5725,155896.0,상동IC,삼랑진IC,"(35.3186210003188, 128.94397700434)","(35.3996404671436, 128.822035534512)",0,8
417,,삼랑진IC~남밀양IC,30.8~38.3,7.5,44353.0,45006.0,42196.0,41612.0,"47,220",31480,4883,173167.0,삼랑진IC,남밀양IC,"(35.3996404671436, 128.822035534512)","(35.4512119083926, 128.773686115799)",0,0
