"노선
번호","지 점
번 호",구    간,2017,2018,2019,2020
,3502,서진주IC ~ 단성IC,"25,671","28,367","27,047","27,248"
,3503,단성IC ~ 산청IC,"24,472","27,869","26,304","24,077"
,3504,산청IC ~ 생초IC,"27,534","26,881","24,934","23,277"
,3505,생초IC ~ 함양JCT,"26,960","29,035","26,985","26,601"
,3506,함양JCT ~ 지곡IC,"24,732","27,762","28,818","27,696"
,3507,지곡IC ~ 서상IC,"28,476","28,878","28,328","26,083"
,3508,서상IC ~ 장수JCT,"25,118","28,514","29,140","27,840"
,3509,장수JCT ~ 덕유산IC,"17,902","20,501","23,159","22,071"
,3510,덕유산IC ~ 무주IC,"16,655","19,716","23,157","21,994"
,3511,무주IC ~ 금산IC,"19,600","20,537","20,769","21,135"
,3512,금산IC ~ 추부IC,"24,468","26,562","25,296","25,278"
,3513,추부IC ~ 남대전IC,"32,776","32,754","30,863","30,990"
,3514,남대전IC ~ 산내JCT,"35,459","37,136","42,929","42,455"
,3515,산내JCT ~ 판암IC,"45,692","45,608","50,954","48,091"
,3516,판암IC ~ 비룡JCT,"48,336","48,618","49,347","50,026"
,3522,남이JCT ~ 서청주IC,"60,970","66,098","68,288","63,237"
,3523,서청주IC ~ 오창IC,"66,599","72,232","75,915","72,265"
,03523-1,오창IC ~ 오창JC,-     ,"67,032","68,870","64,358"
,3524,오창JC ~ 증평IC,"68,235","73,187","75,862","74,000"
,3525,증평IC ~ 진천IC,"71,443","72,351","76,084","71,952"
,3526,진천IC ~ 대소JCT,"65,991","56,894","67,759","64,330"
,03526-1,대소JCT ~ 대소IC,"58,211","55,879","58,912","56,089"
,03526-2,대소IC ~ 삼성하이패스IC,"53,309","52,202","56,608","55,049"
,3527,삼성하이패스IC ~ 일죽IC,"59,436","55,187","60,152","56,638"
,03527-1,일죽IC ~ 남이천IC,"67,596","64,943","67,637","64,504"
,3528,남이천IC ~ 호법JCT,"72,563","63,214","78,230","74,572"
,3529,호법JCT ~ 마장JCT,"82,944","87,995","90,799","86,728"
,3530,마장JCT ~ 서이천IC,"37,847","38,740","41,151","40,652"
,3531,서이천IC ~ 곤지암IC,"38,057","38,923","40,556","42,082"
,3532,곤지암IC ~ 경기광주JCT,"36,973","40,513","44,236","45,107"
,03532-1,경기광주JCT ~ 경기광주IC,"44,753","55,008","53,816","53,670"
,3533,경기광주IC ~ 산곡JCT,"62,466","61,309","65,512","64,963"
,3534,산곡JCT ~ 하남IC,"135,156","120,260","121,503","119,143"
,3535,하남IC ~ 하남JCT,"139,949","152,676","156,256","149,989"
제2중부선,3701,마장JCT ~ 경기광주JCT,"55,004","50,046","54,106","52,898"
,3702,경기광주JCT ~ 산곡JCT,"71,245","66,594","78,735","74,350"
평택제천선,4001,서평택JCT ~ 청북IC,"75,546","83,389","81,417","74,173"
